time,gFx,gFy,gFz,TgF
5.579,-1.4271,-0.4562,0.1735,1.508
5.581,-1.4547,-0.4736,0.1691,1.5390000000000001
5.584,-1.4848,-0.495,0.1641,1.574
5.586,-1.5143,-0.5198,0.1602,1.609
5.589,-1.5457,-0.5467,0.1572,1.6469999999999998
5.591,-1.5752,-0.5749,0.1528,1.6840000000000002
5.593,-1.6042,-0.6027,0.1489,1.72
5.595,-1.6298,-0.6295,0.1503,1.754
5.598,-1.6564,-0.6577,0.1503,1.788
5.601,-1.6824,-0.6849,0.1512,1.8230000000000002
5.603,-1.7061,-0.7102,0.1488,1.854
5.605,-1.7239,-0.7315,0.1468,1.8780000000000001
5.608,-1.7388,-0.7492,0.1443,1.899
5.61,-1.7504,-0.7616,0.1419,1.9140000000000001
5.613,-1.7629,-0.775,0.1394,1.931
5.615,-1.7702,-0.7819,0.1389,1.94
5.618,-1.7706,-0.784,0.1365,1.9409999999999998
5.621,-1.7677,-0.7805,0.134,1.9369999999999998
5.623,-1.7624,-0.7721,0.1297,1.9280000000000002
5.625,-1.7518,-0.7587,0.1248,1.913
5.627,-1.7363,-0.7409,0.1179,1.891
5.63,-1.7149,-0.719,0.1091,1.8630000000000002
5.632,-1.6872,-0.6937,0.1009,1.827
5.635,-1.6561,-0.6674,0.0872,1.788
5.637,-1.622,-0.6464,0.073,1.7480000000000002
5.64,-1.591,-0.6196,0.0648,1.709
5.642,-1.5609,-0.5923,0.0604,1.671
5.645,-1.5323,-0.5694,0.055,1.636
5.647,-1.509,-0.5471,0.0526,1.6059999999999999
5.649,-1.4848,-0.5286,0.0531,1.577
5.652,-1.4605,-0.5137,0.0585,1.5490000000000002
5.654,-1.4362,-0.5016,0.0571,1.5219999999999998
5.657,-1.4158,-0.4902,0.0541,1.499
5.659,-1.4007,-0.4861,0.0512,1.483
5.662,-1.387,-0.4854,0.0507,1.47
5.664,-1.3772,-0.4916,0.0537,1.463
5.667,-1.3664,-0.4979,0.0601,1.456
5.669,-1.3555,-0.5056,0.064,1.4480000000000002
5.672,-1.3471,-0.5187,0.0703,1.445
5.674,-1.3407,-0.5344,0.0811,1.446
5.677,-1.3338,-0.5515,0.0977,1.4469999999999998
5.679,-1.3313,-0.5726,0.1109,1.453
5.682,-1.3312,-0.5951,0.1275,1.464
5.684,-1.3311,-0.6187,0.1461,1.475
5.686,-1.3344,-0.6471,0.1676,1.492
5.689,-1.3361,-0.678,0.1842,1.51
5.691,-1.337,-0.705,0.2038,1.525
5.694,-1.3392,-0.7374,0.2233,1.545
5.696,-1.341,-0.7683,0.2409,1.564
5.698,-1.3398,-0.8007,0.258,1.5819999999999999
5.704,-1.3352,-0.831,0.2721,1.5959999999999999
5.705,-1.3301,-0.8604,0.2824,1.609
5.706,-1.322,-0.8858,0.2921,1.618
5.708,-1.3125,-0.9126,0.2995,1.626
5.711,-1.3049,-0.9356,0.3004,1.6340000000000001
5.713,-1.294,-0.9546,0.3024,1.636
5.716,-1.2811,-0.973,0.3004,1.6369999999999998
5.718,-1.2667,-0.989,0.2956,1.6340000000000001
5.721,-1.2503,-1.0025,0.2931,1.629
5.723,-1.2306,-1.0126,0.2917,1.62
5.726,-1.2119,-1.0227,0.2887,1.6119999999999999
5.728,-1.1912,-1.0307,0.2878,1.601
5.73,-1.1711,-1.0344,0.2859,1.588
5.733,-1.1481,-1.0371,0.2834,1.5730000000000002
5.735,-1.1255,-1.0403,0.2849,1.5590000000000002
5.738,-1.106,-1.0386,0.2824,1.5430000000000001
5.74,-1.087,-1.0374,0.2815,1.5290000000000001
5.744,-1.0683,-1.0352,0.2781,1.5130000000000001
5.746,-1.0547,-1.0345,0.2737,1.5019999999999998
5.748,-1.0433,-1.0349,0.2674,1.494
5.75,-1.0287,-1.0323,0.2644,1.4809999999999999
